time,gross_return,net_return,gross_nav,net_nav,price_pnl,fee,sampled_spread_cost,funding_cost,turnover
2025-03-01 00:00:00+00:00,-0.01177283729446217,-0.012321366145682668,9882.27162705538,9876.786338543174,-117.7283729446217,4.65987995875011,0.7900103427114072,0.035398210743456775,0.931975991750022
2025-03-02 00:00:00+00:00,-0.029947379362278804,-0.030324274894281224,9586.323489678867,9577.279954541109,-295.9481373765116,3.1448714753851594,0.7234803024420141,-0.310105152274278,0.6364673212938667
2025-03-03 00:00:00+00:00,0.003941420895536287,0.0036117155864517133,9624.107225392458,9611.870365828736,37.78373571359062,2.3999222534255575,0.36926326148604954,0.4241389110513345,0.5006971141771792
2025-03-04 00:00:00+00:00,-0.005899564478582813,-0.0061390120754255435,9567.32918426746,9552.862977585488,-56.778041124997536,1.7605276674574666,0.37692860532708905,0.09189084546545882,0.3658578663405685
2025-03-05 00:00:00+00:00,0.0009012518174208288,0.0006601634868484321,9575.951757082645,9559.169428918156,8.622572815184384,2.751674487816407,0.3556266551379576,-0.7911796604381116,0.5752231233647249
2025-03-06 00:00:00+00:00,0.002999185644171809,0.0028787543483750973,9604.671814121768,9586.687929478509,28.720057039124075,1.7929728925728694,0.21435165818771412,-0.8057680719889448,0.37447408634796764
2025-03-07 00:00:00+00:00,-0.005209732892189649,-0.005299697048667325,9554.63403945305,9535.881387752157,-50.037774668717006,1.293664517744093,0.1907603288576467,-0.7156577889668212,0.269382347003677
2025-03-08 00:00:00+00:00,-0.0019582169392576036,-0.0021519474036999922,9535.923993228587,9515.360672557792,-18.710046224464264,1.7651611556072078,0.24155983355621435,-0.1960520192633471,0.36948796747599
2025-03-09 00:00:00+00:00,0.006202384237545349,0.006126505324207141,9595.069457894619,9573.656580379968,59.14546466603149,1.0471457574877592,0.11100391040184733,-0.30859282403467136,0.2196212466104663
2025-03-10 00:00:00+00:00,0.007080177935423691,0.006924711466014077,9663.004256959262,9639.951389873806,67.93479906464323,2.0643653784904834,0.29822259442333193,-0.722598402108872,0.43029712031776224
