net_sharpe,gross_sharpe,mean_daily_gross_return,daily_gross_vol,mean_daily_turnover,total_costs_fraction
4.784498875042132,6.574076688415203,0.0029354213181377194,0.008530649731821358,1.1590930640439068,0.38374551724379674
4.617933748672326,6.148350309100948,0.0029988973364593317,0.009318573322254513,1.153448918780898,0.38167461118767787
2.454021915513286,4.149753776573594,0.0019340890981090339,0.008904316334416006,1.194500042947172,0.3957641850002195
4.2860439147773395,5.834285560754865,0.002650117766012345,0.008678085483099727,1.172841757013103,0.3880161351596264
3.512691725609072,5.109653498889542,0.0023918824692199035,0.008943238601411337,1.1610580452887815,0.3846017311530456
3.618887886725927,5.371095285777477,0.0022731011860535216,0.0080854155199162,1.2025977918612352,0.398257257307032
4.772042314665215,6.466187632039307,0.0027824725741508478,0.008221082794544223,1.1671906832016707,0.38634602593511314
5.216000492926174,6.881956226868692,0.0030707946772703287,0.008524821722162026,1.173584181391682,0.38882437870069564
3.839840761384451,5.665116864609039,0.002383959642368528,0.008039637328785548,1.1624885935155587,0.3851625444138943
4.74140008687067,6.41728147760988,0.0028380830583631133,0.008449294438202902,1.1645567729389277,0.38534386045186314
3.6785980413130925,5.481733736002503,0.002376463524715049,0.008282465744691492,1.1591476970993857,0.38395117699030323
4.2561453144897055,6.042954396374416,0.0027683124198492064,0.008752098899125272,1.1663194770659102,0.3865457604569671
3.701575496423779,5.461322794887743,0.002501416286546252,0.00875053404599442,1.1633382188651515,0.38474486843978417
4.586721536848526,6.358410526927178,0.0028562435795517,0.00858209087573126,1.1840781873719732,0.3921440799205388
4.664764055060193,6.365705118795409,0.002935480493182086,0.008810065032866295,1.1834884503713992,0.39214864934433924
4.323678613661973,6.164659626498073,0.0026950579082080286,0.008352287418892405,1.1813264827476835,0.39064754945460745
4.084479411633368,5.851854626242112,0.002699970672139113,0.00881478959370442,1.202660157443995,0.398244899928505
3.386298742122947,5.328290607447576,0.0023531194421595627,0.008437280758695157,1.1835285140657161,0.3917144358473301
3.8093258169675455,5.532063813505411,0.0024306375107730396,0.008394202598854561,1.186320123169312,0.3927727974813022
4.594303960334428,6.439494588227908,0.002702601131935962,0.00801819481633178,1.186099348203519,0.3926528101604064
4.336585872161996,6.185613065226276,0.0025912934567084607,0.008003506112610751,1.1724140375722367,0.3884979260054457
3.7833890943297743,5.550866673080756,0.0025949125355528365,0.008931170086005151,1.194397677899418,0.39523118706035504
4.28421243505746,5.93128198104068,0.0026589776270255997,0.00856470766326986,1.155061304127372,0.382541335968299
3.4395147602500864,5.149570333050974,0.002338160803710247,0.008674607111577345,1.173680443403162,0.3888379335951456
3.9543873442933752,5.754522367383347,0.0025233792617245536,0.008377601132927124,1.1649948721974985,0.38595252203567265
5.039729376557768,6.827799794606353,0.003079171986572143,0.008615879195774818,1.1744492710733865,0.38901313919872393
