trial,net_sharpe,gross_sharpe,mean_daily_turnover_equity,gross_pnl_usdt,total_costs_usdt
0,-1.7767403381368565,0.8610676258850285,1.7017411099824753,1687.7007536313547,5753.646802202103
1,-1.5371300363029226,1.0767763348755144,1.6942141262684167,2203.4706073730026,5964.523261299909
2,-1.3030440571254034,-0.06786581571861121,1.6956479553295183,-610.856481124591,5526.862878819504
3,-2.8267368531160817,-1.1884960481765035,1.6996689966616598,-2617.013538129165,4805.111619419533
4,-3.302123183677038,-1.0132999957632645,1.697626874872432,-2200.4613680416423,5605.501364936894
5,-2.774851017349224,0.0480864430816438,1.682676390105604,-23.362950795158028,5486.124069741559
6,-1.9732017100598265,0.5899221703824343,1.7038902301819436,1156.6039661053821,5996.502678318449
7,-3.423526388641111,-0.1397406323232343,1.7002259261772383,-343.7924160023741,6042.670925503339
8,-1.6088314157386,0.7499758740898098,1.6954341528645402,1605.0604151241155,6192.151763627785
9,-3.340307677330188,-1.4001512672293666,1.7002962514833513,-3179.9961807395734,5260.044373341271
10,-2.9376379415523606,-0.854113662468474,1.686352244659255,-1722.8829535654784,4905.431555056935
11,-3.125755065649871,-0.5739001208057486,1.6982225232608097,-1229.6115088855113,5588.40001405249
12,-2.1191237488388124,0.43271018005095135,1.6878662473197996,728.1457593984729,5579.692637516123
13,-2.746465504033993,0.2945551085556843,1.7011729715934345,442.1361794674912,5851.392236424304
14,-1.281090191185197,0.5841791757675849,1.6986091760888902,1344.8919144026954,5866.537898432525
15,-1.5040714891937643,1.439661018992873,1.69692472053148,2800.1433634639234,6341.346969775209
16,-1.964368097379209,0.96343751905982,1.688557103488096,1780.4077957431994,6001.715588198177
17,-2.6460350778337802,0.3747069208632789,1.695393478303773,578.9494026598161,6029.823901333693
18,-1.8675233018560382,-0.019378126043298288,1.6993210468946434,-339.4210529848508,5913.0287117288135
19,-2.3656853964377382,-0.4707620648884826,1.6950365864787178,-1512.871058834029,5488.417470925759
20,-2.005445967127075,0.47487662972646755,1.7053116418588217,860.7668100326824,6031.330176641169
21,-3.490739250716074,-1.4428404402118387,1.6914034144110963,-3613.686559192481,5340.429397724095
22,-2.683678754089721,0.13517172321153875,1.6985745712981335,138.06527167974014,5974.014310952339
