trial,net_sharpe,gross_sharpe,mean_daily_turnover_equity,gross_pnl_usdt
0,-0.1717851279366573,0.7054614622345524,0.5317494903577089,1334.2173837443877
1,-0.178841786556602,0.7551346291209253,0.5296195680531814,1603.305920332564
2,0.5340274815106228,0.9537192091906815,0.5299164837065854,3967.833680114111
3,-0.48280999261395435,0.17859475515808987,0.5307377253873339,226.18696563599607
4,-0.43488438792350653,0.40514745856793827,0.5312105570223076,736.7263633702119
5,-2.2338365565298757,-1.4221577763984488,0.5308640092576404,-2679.4452644102
6,-1.223025037784403,-0.3539586414719006,0.5305422293658191,-760.571891758483
7,-0.9488687889396069,-0.19600395380101268,0.5319500846306927,-537.1332022771574
8,0.32445644959558756,1.2826096500709072,0.5316374706229486,2506.364553833134
9,-0.5817920444978606,0.35964881474689775,0.5322344325222562,627.5514614348596
10,-1.3625961346499138,-0.6396918373171839,0.5308271128370761,-1540.0224429650007
11,-0.7269823172975252,0.03463103900771622,0.5285669559425744,-109.23956211530816
12,-1.0397290529470151,-0.19202031577725232,0.5294612784962985,-437.0679391739557
13,-1.706965592043753,-0.8661739792636509,0.5295466230695212,-1647.4033359865593
14,-1.949105728849098,-0.9911122008811284,0.5321802356954303,-1877.0094954091128
15,-1.299365203128529,-0.39315673247089056,0.5308424995242621,-840.2502245125106
16,-1.166127993272943,-0.33802381348561145,0.5326173303992647,-772.9972252749313
17,-0.5601157828411862,0.13076684463626326,0.5307305242674427,109.34234363843353
18,-0.8351068439065281,0.08111925458512391,0.530527182743809,25.5909107744949
19,-0.6353242306288622,0.2417992664691281,0.5295789509493046,358.94389050831666
20,-0.6422330629027597,0.13325192020091944,0.5308221388463703,134.85457091920946
21,-1.3693819178110997,-0.5452591923586563,0.5316787103956055,-1177.1560045754977
22,-0.1624752966132992,0.8031691014775119,0.5312771867017473,1477.4863156218366
23,-0.16478463407525903,0.5817350840399664,0.5309442096171301,1260.6165085716466
24,-0.9269382979188925,-0.35205071536422317,0.5321509164538042,-1187.4142213626205
25,-0.7626197788386965,0.06402651295730907,0.5308583305743753,-15.082787392957016
26,0.3837168106505438,1.2968626940093302,0.5289889729203598,2632.710592784354
27,-0.1538505569446858,0.5863291095612324,0.531787636670223,1195.7492425004689
28,-0.012765838869088943,0.9328716691465431,0.5317880953123663,2030.4992514319808
29,-0.702517502712641,0.02797188658075499,0.531372599592616,-101.48512730985209
30,-0.6194433627563207,0.29283452891493456,0.5311723755088242,456.45545108109206
31,-2.4190555987777236,-1.585537428253116,0.5313275841261296,-2736.198472430294
32,0.20346208689979306,1.2386259897158072,0.5308649971853133,2563.966488473671
33,0.5155666615724541,1.3219210158377397,0.5321792041159016,3542.3072267657267
34,-0.904133052194588,-0.04250566243090991,0.530742904629402,-196.79654676738636
35,-2.614414380886641,-1.5440340311839635,0.5312536695434253,-2750.8512094829134
36,-2.693066365899579,-1.7836668796126636,0.531438135449207,-3138.667826219942
37,0.012734426493550798,0.40767432068138665,0.5282563144812407,1253.7508817323119
38,-1.0019398399373938,-0.3265314393923604,0.5316917206367489,-1038.5795005741932
39,0.027190975786262284,0.6823381866469421,0.5308810489241412,1579.6869882120516
40,0.1932542139408027,0.9688082312948915,0.532494338724432,2046.621817835977
41,-1.3212984131920373,-0.575249536663448,0.5325125997764554,-1340.7799702003426
42,-0.3951269493765513,0.6630934792663562,0.5311376388369045,1152.016877115912
43,-0.6166869034150217,0.4666830256156121,0.5309546247022124,774.5201988697715
44,0.35133442330239584,0.7947127780127231,0.5313200076778233,2885.540728079137
45,-1.4209990684054512,-0.5693943210118714,0.5308744879996089,-1231.5549857717774
46,-0.8773822811587025,-0.06211710610442229,0.5295967771121545,-312.7904053134224
47,-0.9821838263275912,-0.06173085767033531,0.5293798224718548,-263.16629946899155
48,-1.936725965474167,-1.0504127849030418,0.5312408981029871,-1943.995167134477
49,0.6111953852547142,1.0030324005339257,0.5301075575131424,4403.164978105636
50,-1.0413830906354684,0.05553869748267444,0.5315894728417866,-3.783939203517402
51,-0.32872876509487875,0.3762158806335681,0.5303095007854328,743.0113683690923
52,0.8820471067681794,1.7114166100288721,0.5299201095283208,3973.834531541268
53,0.041092438783542004,0.843581255091875,0.5296670613604457,1882.5389769784292
54,-1.9940666348068918,-1.2444258995475843,0.5329444238583928,-2322.3006729692074
55,-0.7354263121323574,0.25200936742035973,0.5312975346701937,363.9904801398295
