entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,exit_detail,gross_before_execution_costs,slippage_cost,entry_fee,exit_fee,funding_cost,initial_risk_usdt,initial_risk_fraction,initial_distance,entry_equity,peak_completed_close_r,first_trailing_update_r,trailing_updates,hours
2025-03-09 23:00:00+00:00,2025-03-10 02:00:00+00:00,-1,0.055,80331.8932,82542.80052435157,-126.88576451826978,stop,trailing_stop,-118.91248109500754,2.6874217443282333,2.6509524756,2.7239124173036013,-0.08900321396958233,192.45288235847818,0.019245288235847816,3499.143315608694,10000.0,-0.1150015200020455,-0.1150015200020455,1,3.0
2025-03-10 15:00:00+00:00,2025-03-11 04:00:00+00:00,-1,0.039,79822.44608,80246.52857982152,-20.04982694203774,stop,trailing_stop,-14.666411809496465,1.872805683543005,1.8678452382719997,1.8777687687678233,-0.23500455804155232,191.28251605151306,0.019374081114557264,4904.679898756745,9873.11423548173,0.44050705134654405,-0.04394862140843179,4,13.0
2025-03-19 23:00:00+00:00,2025-03-20 04:00:00+00:00,1,0.067,86192.14989,85391.70784760523,-60.680413233445336,stop,trailing_stop,-50.18078581619493,3.448831024254936,3.464924425578,3.43274665547373,0.15312531194374387,187.9704309887253,0.019077357377853994,2805.528820727243,9853.064408539693,0.23355672027284366,0.23355672027284366,1,5.0
2025-03-24 11:00:00+00:00,2025-03-24 22:00:00+00:00,1,0.10200000000000001,87808.53465999999,87369.8702293363,-54.71191568721761,stop,trailing_stop,-39.38331628258233,5.360455645113859,5.373882321191998,5.347036058035382,-0.7527746197059614,180.60721014302527,0.018443640509767094,1770.6589229708359,9792.383995306249,0.36227493148355777,-0.07394685577293478,5,11.0
2025-03-29 10:00:00+00:00,2025-03-30 02:00:00+00:00,-1,0.10200000000000001,83527.03437000001,83181.57771386886,25.347149861624516,stop,trailing_stop,40.33786608555142,5.101287160173989,5.111854503444,5.090712556088774,-0.31313799577986273,180.9510886211923,0.018582581867787815,1774.0302805999243,9737.672079619033,0.7481464011714469,0.33879600397618725,3,16.0
2025-04-06 18:00:00+00:00,2025-04-07 04:00:00+00:00,-1,0.095,80781.85817,76946.13378904673,355.46471826766674,target,target,368.8890971614133,4.4952809708515815,4.60456591569,4.385929625975663,-0.0613976187706767,183.29306165570662,0.018774219055333857,1929.4006490074382,9763.019229480657,1.6009418114319804,0.8686418608090514,4,10.0
2025-04-07 05:00:00+00:00,2025-04-07 10:00:00+00:00,-1,0.054,76968.80243,76897.7223315065,-0.9888048804965852,stop,trailing_stop,6.330963589571533,2.492638270923053,2.493789198732,2.49148620354081,-0.15814520312774483,193.81638267981026,0.019154685986623562,3589.1922718483384,10118.483947748324,0.598129681387743,0.0032883248112863445,2,5.0
2025-04-12 14:00:00+00:00,2025-04-13 08:00:00+00:00,1,0.08,84479.23616999999,84336.70028661413,-20.192101444835053,stop,trailing_stop,-7.351288857526379,4.0515818133426365,4.0550033361599995,4.048161613757478,0.6860658240485612,191.08239289489507,0.01888633403788641,2388.529911186188,10117.495142867827,0.43510605629547805,0.14685343832508882,5,18.0
2025-04-21 01:00:00+00:00,2025-04-21 11:00:00+00:00,1,0.11,86664.49154999999,86706.17759496192,-7.584779069518872,stop,trailing_stop,10.306697955197015,5.721233009385032,5.719856442299999,5.722607721267487,0.7277798517633687,187.37896075171892,0.01855732763323225,1703.4450977428992,10097.303041422992,0.5310464371282876,0.3664975471338837,5,10.0
2025-04-21 15:00:00+00:00,2025-04-21 17:00:00+00:00,1,0.08600000000000001,88222.25874,86929.19447379009,-120.38782348393754,stop,trailing_stop,-106.68462900275377,4.518897891298721,4.552268550984,4.485546434847569,0.1464816040534919,188.2985240059307,0.018662416443133583,2189.517720999194,10089.718262353475,-0.08360687755313904,-0.08360687755313904,1,2.0
2025-04-22 13:00:00+00:00,2025-04-22 21:00:00+00:00,1,0.088,89012.6958,93212.5433166051,360.1629007406816,target,target,374.39736146968824,4.810780008440133,4.699870338239999,4.921622287116748,-0.19781190479022845,186.02406553484423,0.018659634834607634,2113.90983562323,9969.330438869538,1.179380576213165,0.581625658427153,5,8.0
2025-04-22 22:00:00+00:00,2025-04-23 14:00:00+00:00,1,0.06,93086.01743,92738.95125965402,-28.454185668219537,stop,trailing_stop,-17.479122357466547,3.344847863292962,3.35109662748,3.338602245347544,0.9405165746324828,197.6611882971133,0.0191356131223927,3294.353138285222,10329.49333961022,0.36340444383055664,-0.0868205131611619,6,16.0
2025-04-25 15:00:00+00:00,2025-04-26 13:00:00+00:00,1,0.076,95361.5999,93861.05032998718,-123.5255963412796,stop,trailing_stop,-109.72750077120553,4.31426654976903,4.34848895544,4.280063895047415,0.85527616981761,193.44186333258588,0.01877886885407668,2545.2876754287618,10301.039153942002,-0.047970962645482874,-0.13397302917539675,3,22.0
2025-05-01 11:00:00+00:00,2025-05-02 21:00:00+00:00,1,0.094,96162.74016999999,96643.63166572791,34.267544192522145,stop,trailing_stop,50.64094484187607,5.437144243451648,5.423578545587999,5.450700825947054,0.0619770343672254,189.42509772638135,0.01861211941937585,2015.16061411044,10177.51355760072,0.7558999611911472,-0.015204827737023738,9,34.0
2025-05-08 03:00:00+00:00,2025-05-08 21:00:00+00:00,1,0.078,98659.58899999999,103547.91396186133,370.6530053768179,target,target,386.0210373363844,4.731690311200339,4.6172687651999995,4.84604237341511,1.1730305097510993,191.85654766819223,0.018787765401130783,2459.6993290793876,10211.78110179324,1.5919063577032944,0.1801077858430049,9,18.0
2025-05-11 00:00:00+00:00,2025-05-11 07:00:00+00:00,1,0.097,104818.73619,103284.09851270376,-160.97143967743258,stop,trailing_stop,-142.80407506025495,6.055779637480271,6.100450446258,6.011134533439358,0.0,194.43123859131853,0.01837301670128831,2004.4457586733868,10582.434107170058,-0.21129840414355247,-0.21129840414355247,1,7.0
2025-05-19 00:00:00+00:00,2025-05-19 03:00:00+00:00,1,0.067,106466.9305,103558.54370225684,-203.3049395117228,stop,trailing_stop,-190.6404205749648,4.221494873827311,4.2799706061,4.163053456830724,0.0,195.12164431530817,0.018723057457562614,2912.263347989674,10421.462667492626,-0.4245599907211366,-0.4245599907211366,1,3.0
2025-05-21 07:00:00+00:00,2025-05-21 17:00:00+00:00,1,0.062,107742.41303,107277.89972393711,-37.75699968251167,stop,trailing_stop,-24.800449390716647,3.999375585182335,4.008017764716,3.9907378697304603,0.9584190721662228,192.54200286537053,0.018843122996440243,3105.516175247912,10218.157727980903,0.4321300853932496,-0.4109825735807358,6,10.0
2025-05-22 04:00:00+00:00,2025-05-23 11:00:00+00:00,1,0.042,111775.02244999999,110039.55746930986,-80.11262386711505,stop,trailing_stop,-70.094671790523,2.794857398462426,2.8167305657399995,2.7729968482266085,1.6333672641630164,194.43403364217912,0.019098858564743148,4629.381753385217,10180.400728298391,-0.02052594818530675,-0.06930135968272486,5,31.0
2025-05-29 20:00:00+00:00,2025-05-31 14:00:00+00:00,-1,0.07200000000000001,105661.19213,104506.66162728569,76.92121225995938,stop,trailing_stop,87.66582972651186,4.539633531081961,4.564563500016,4.514687782298742,-2.8742673468442086,188.21913666766065,0.01863502651821226,2614.154675939731,10100.288104431274,0.9567498637397585,-0.18851519175040804,9,42.0
2025-06-05 19:00:00+00:00,2025-06-06 02:00:00+00:00,-1,0.078,102909.21797000001,101965.9413182621,64.10969157538224,stop,trailing_stop,78.3696646161713,4.794085780614651,4.816151400996,4.772006053694666,-0.12227019451625097,188.97387615657377,0.018568339342951833,2422.742002007356,10177.209316691233,1.0212882626172861,0.4263425363262734,2,7.0
2025-06-09 11:00:00+00:00,2025-06-09 13:00:00+00:00,1,0.095,107162.139,106784.568733959,-48.0641376147309,stop,trailing_stop,-29.771696782930885,6.0974784909643525,6.108241923,6.086720417835663,0.0,160.46534691708197,0.01566842579432953,1689.1089149166523,10241.319008266617,0.3184288444931597,0.3184288444931597,1,2.0
2025-06-09 18:00:00+00:00,2025-06-10 08:00:00+00:00,1,0.08700000000000001,108325.38786999999,108981.62865648701,44.6074407478849,stop,trailing_stop,62.76466720453193,5.671718780161328,5.654585246814,5.688841015868622,1.1420814138030853,187.4298454660481,0.018387634552893457,2154.3660398396332,10193.254870651885,0.879429073316176,0.03156944026330154,6,14.0
2025-06-20 18:00:00+00:00,2025-06-22 00:00:00+00:00,-1,0.075,103184.43538,102478.61547620982,44.40356987443131,stop,trailing_stop,57.56391660928057,4.627423825017104,4.643299592099999,4.6115376964294414,-0.721914378697295,191.68991992628597,0.018723627462037748,2555.8655990171465,10237.86231139977,0.702124313848931,0.02650193344518811,7,30.0
2025-06-22 15:00:00+00:00,2025-06-22 22:00:00+00:00,-1,0.061,99543.52798,100464.02885485475,-63.16428823692961,stop,trailing_stop,-52.49041980020032,3.660133565939745,3.6432931240679993,3.6769834560876835,-0.3065417093661446,195.93708535535393,0.01905582754013291,3212.083366481212,10282.265881274201,0.22248114337794062,0.2170018335369615,2,7.0
2025-06-25 11:00:00+00:00,2025-06-25 15:00:00+00:00,1,0.089,107115.42499,106732.12814077512,-45.5328789181974,stop,trailing_stop,-28.4036924687547,5.7097271122593085,5.719963694465999,5.699495642717391,0.0,189.7322925209495,0.01856643568845842,2131.823511471343,10219.10159303727,0.34875073194350065,0.006977599186781153,3,4.0
2025-06-29 12:00:00+00:00,2025-06-29 15:00:00+00:00,1,0.093,108460.72846,107593.13391239989,-92.74209844718987,stop,trailing_stop,-74.6583968858764,6.027896040933555,6.052108648068,6.003696872311914,0.0,88.68048560035007,0.008716752999100266,953.5536086059147,10173.568714119074,-0.3315266778363611,-0.3315266778363611,1,3.0
