attempt,label,selectable,eligible,development_score,audit_sharpe,audit_return,audit_trades
156,targeted_156,True,False,-0.9024447707386835,,,
157,targeted_157,True,True,0.37631437431937564,,,
158,targeted_158,True,True,-0.2948402097976618,,,
159,targeted_159,True,True,0.7718076068612454,,,
160,targeted_160,True,True,-0.38467948350302955,,,
161,targeted_161,True,False,-1.9609609952014793,,,
162,targeted_162,True,True,0.43783327576288933,,,
163,targeted_163,True,True,-0.08486333975976629,,,
164,targeted_164,True,True,0.49181443863346813,,,
165,targeted_165,True,True,-0.36763097476595386,,,
166,targeted_166,True,True,0.45488003406330824,,,
167,targeted_167,True,False,-1.3897961280707936,,,
168,targeted_168,True,True,0.26030919094926375,,,
169,targeted_169,True,True,-1.1572806790828145,,,
170,targeted_170,True,True,0.6495476791454213,,,
171,targeted_171,True,True,0.6984575585372353,,,
172,targeted_172,True,True,0.7225154736539501,,,
173,targeted_173,True,True,-0.09254327252367875,,,
174,targeted_174,True,True,0.7982278041391487,,,
175,targeted_175,True,True,0.19529792361870793,,,
176,targeted_176,True,True,0.2505873331101932,,,
177,targeted_177,True,True,0.46160017152478106,,,
178,targeted_178,True,True,-1.3733595021893255,,,
179,targeted_179,True,True,0.8924556549256926,,,
180,targeted_180,True,True,0.5917275927023756,,,
181,targeted_181,True,True,0.03424562956449953,,,
182,targeted_182,True,True,0.8972768830284932,,,
183,targeted_183,True,True,-0.7205240094929845,,,
184,targeted_184,True,False,-0.46130461094593234,,,
185,targeted_185,True,True,-0.011756828075566633,,,
186,targeted_186,True,True,-0.31753526798361176,,,
187,targeted_187,True,False,-0.6834850202573435,,,
188,targeted_188,True,False,-1.3319092164677708,,,
189,targeted_189,True,True,-0.3894932682200335,,,
190,targeted_190,True,False,-0.9979869046488585,,,
191,targeted_191,True,True,0.31877024164631307,,,
192,targeted_192,True,False,0.3438504350819548,,,
193,targeted_193,True,False,-1.7741488148047044,,,
194,targeted_194,True,False,0.13143392532756687,,,
195,targeted_195,True,False,-0.020294412911931153,,,
196,targeted_196,True,True,0.035535883596917395,,,
197,targeted_197,True,True,0.7767270315177113,,,
198,targeted_198,True,False,-0.14669636133989555,,,
199,targeted_199,True,True,0.6945781349412302,,,
200,targeted_200,True,True,-0.09382371884746761,,,
