horizon_days,ic_mean,ic_hac_t,ic_days,gross_sharpe,net_sharpe,cost_coverage_complete,spread_coverage_complete,funding_coverage_complete,missing_spread_pairs,missing_funding_days_symbols,mean_daily_turnover_equity,max_position_notional_usdt,gross_pnl_usdt,fees_usdt,sampled_spread_usdt,funding_usdt,net_return
1,-0.018496608324576568,-2.154454408820558,549,0.9607896465957478,0.3675266116028061,True,True,True,0,0,0.4956167483690888,3155.6898523860978,2562.58119887799,1412.2403904146333,294.2987089099185,56.42845298978001,0.0799613646563655
2,-0.010938869649035725,-0.9362694074485356,548,0.5032768492717984,0.03198683472053102,True,True,True,0,0,0.34541765454518075,3101.8672084205928,1167.6558894078676,973.8865463423745,203.01002476434675,163.24772606864857,-0.017248840776749375
7,0.00033571376209797497,0.017826464421534533,543,-0.3151112928420541,-0.5854556016439654,True,True,True,0,0,0.18171322303584186,2881.290292345862,-1104.1940610114739,516.6088190496512,107.26537638959768,116.22410691540436,-0.18442923633660913
14,-0.004046952408312437,-0.1579528936391007,536,-0.08390065501998292,-0.3224354292101739,True,True,True,0,0,0.12129720606923121,2551.7524335445246,-499.96389692979204,338.39831890113373,70.53744127040392,274.48767626429947,-0.1183387333365632
30,-0.00654031117467862,-0.24060890808799051,520,0.8927682071313533,0.7428987927080695,True,True,True,0,0,0.08153690979535483,2571.9353047152476,2293.942151917074,250.56856382237112,52.85400169804464,130.6000027104536,0.18599195836862026
60,-0.05855695650923241,-1.6644798928222044,490,0.4179658166829391,0.2877026587178751,True,True,True,0,0,0.06673261956892466,2508.7421568985287,895.7144966584727,198.57894174948635,43.2675948660172,114.12740423762273,0.053974055580533475
