date,horizon,ic,symbols
2025-03-01 00:00:00+00:00,1,-0.5769591209755587,50
2025-03-02 00:00:00+00:00,1,-0.5578848864928738,50
2025-03-03 00:00:00+00:00,1,0.09682299682934174,50
2025-03-04 00:00:00+00:00,1,-0.17852168813183494,50
2025-03-05 00:00:00+00:00,1,-0.12836767095660623,50
2025-03-06 00:00:00+00:00,1,0.09667891498882188,50
2025-03-07 00:00:00+00:00,1,-0.10144092511544353,50
2025-03-08 00:00:00+00:00,1,-0.06973226127819816,50
2025-03-09 00:00:00+00:00,1,0.3698367061500545,50
2025-03-10 00:00:00+00:00,1,0.16722697320817825,50
2025-03-11 00:00:00+00:00,1,-0.22637885140491418,50
2025-03-12 00:00:00+00:00,1,-0.16448887010149144,50
2025-03-13 00:00:00+00:00,1,0.14503541946291904,50
2025-03-14 00:00:00+00:00,1,-0.2222222253617878,50
2025-03-15 00:00:00+00:00,1,-0.20631033087526388,50
2025-03-16 00:00:00+00:00,1,0.18568684493196244,50
2025-03-17 00:00:00+00:00,1,-0.07434444414883971,50
2025-03-18 00:00:00+00:00,1,-0.024737614386330143,50
2025-03-19 00:00:00+00:00,1,-0.5525488044685919,50
2025-03-20 00:00:00+00:00,1,-0.030952838486845158,50
2025-03-21 00:00:00+00:00,1,0.063617156366313,50
2025-03-22 00:00:00+00:00,1,0.12458874957793784,50
2025-03-23 00:00:00+00:00,1,-0.1892320288510707,50
2025-03-24 00:00:00+00:00,1,-0.28479493139704104,50
2025-03-25 00:00:00+00:00,1,-0.18707074933373613,50
2025-03-26 00:00:00+00:00,1,0.11377662673051121,50
2025-03-27 00:00:00+00:00,1,-0.08246284005752964,50
2025-03-28 00:00:00+00:00,1,-0.28861029176409897,50
2025-03-29 00:00:00+00:00,1,-0.05349982029195094,50
2025-03-30 00:00:00+00:00,1,-0.21656540934730983,50
2025-03-31 00:00:00+00:00,1,0.08593112417962478,50
2025-04-01 00:00:00+00:00,1,0.0971228245339303,50
2025-04-02 00:00:00+00:00,1,0.35727839962237595,50
2025-04-03 00:00:00+00:00,1,0.02949158343980961,50
2025-04-04 00:00:00+00:00,1,-0.13879217292974705,50
2025-04-05 00:00:00+00:00,1,-0.033127541631105206,50
2025-04-06 00:00:00+00:00,1,0.33289306990157563,50
2025-04-07 00:00:00+00:00,1,-0.11333893706373806,50
2025-04-08 00:00:00+00:00,1,0.15739295773589143,50
2025-04-09 00:00:00+00:00,1,-0.09605225342227354,50
2025-04-10 00:00:00+00:00,1,0.3912949892277923,50
2025-04-11 00:00:00+00:00,1,-0.07871104103923593,50
2025-04-12 00:00:00+00:00,1,-0.10445180857860777,50
2025-04-13 00:00:00+00:00,1,0.14796494283617667,50
2025-04-14 00:00:00+00:00,1,-0.21512300242829396,50
2025-04-15 00:00:00+00:00,1,0.12202852671183556,50
2025-04-16 00:00:00+00:00,1,0.11069490518330616,50
2025-04-17 00:00:00+00:00,1,-0.12180010791023232,50
2025-04-18 00:00:00+00:00,1,-0.3927379357358511,50
2025-04-19 00:00:00+00:00,1,-0.04149457347842217,50
2025-04-20 00:00:00+00:00,1,-0.19321838884971,50
2025-04-21 00:00:00+00:00,1,-0.06176901678109961,50
2025-04-22 00:00:00+00:00,1,-0.24574969038088681,50
2025-04-23 00:00:00+00:00,1,-0.467390265152783,50
2025-04-24 00:00:00+00:00,1,0.16415724363228673,50
2025-04-25 00:00:00+00:00,1,0.08961029629222948,50
2025-04-26 00:00:00+00:00,1,0.004418297546552501,50
2025-04-27 00:00:00+00:00,1,-0.16931649677651056,50
2025-04-28 00:00:00+00:00,1,0.08145426717389066,50
2025-04-29 00:00:00+00:00,1,-0.38679313521667213,50
2025-04-30 00:00:00+00:00,1,0.025598540332360687,50
2025-05-01 00:00:00+00:00,1,-0.11069790498381837,48
2025-05-02 00:00:00+00:00,1,0.09299169549517441,48
2025-05-03 00:00:00+00:00,1,-0.3525133013934917,48
2025-05-04 00:00:00+00:00,1,-0.036098143736783495,48
2025-05-05 00:00:00+00:00,1,0.06009445820966612,48
2025-05-06 00:00:00+00:00,1,0.13741619094085555,48
2025-05-07 00:00:00+00:00,1,-0.08772834771969007,48
2025-05-08 00:00:00+00:00,1,-0.3227207368968834,48
2025-05-09 00:00:00+00:00,1,-0.4308552546258308,48
2025-05-10 00:00:00+00:00,1,-0.31983279315128865,48
2025-05-11 00:00:00+00:00,1,-0.08578099018486438,48
2025-05-12 00:00:00+00:00,1,-0.12707287326692426,48
2025-05-13 00:00:00+00:00,1,0.07073256857470801,48
2025-05-14 00:00:00+00:00,1,-0.07161083927457983,48
2025-05-15 00:00:00+00:00,1,0.05772155192756823,48
2025-05-16 00:00:00+00:00,1,0.030451893166486332,48
2025-05-17 00:00:00+00:00,1,0.053737176434805745,48
2025-05-18 00:00:00+00:00,1,-0.13120182467940708,48
2025-05-19 00:00:00+00:00,1,0.10011129808247232,48
2025-05-20 00:00:00+00:00,1,-0.0015745039657387636,48
2025-05-21 00:00:00+00:00,1,-0.004125950151571315,48
2025-05-22 00:00:00+00:00,1,-0.3619435481648152,48
2025-05-23 00:00:00+00:00,1,0.24130069263050216,48
2025-05-24 00:00:00+00:00,1,-0.09528463654729415,48
2025-05-25 00:00:00+00:00,1,0.05325299291771954,48
2025-05-26 00:00:00+00:00,1,0.15373758414613772,48
2025-05-27 00:00:00+00:00,1,-0.33041118307380096,48
2025-05-28 00:00:00+00:00,1,0.02692286819359965,48
2025-05-29 00:00:00+00:00,1,0.1853118387357847,48
2025-05-30 00:00:00+00:00,1,0.08272717451858354,48
2025-05-31 00:00:00+00:00,1,-0.45954236599453985,48
2025-06-01 00:00:00+00:00,1,-0.0714161810318616,47
2025-06-02 00:00:00+00:00,1,0.06725459151780037,47
2025-06-03 00:00:00+00:00,1,0.1040275258795595,47
2025-06-04 00:00:00+00:00,1,0.3352898724163427,47
2025-06-05 00:00:00+00:00,1,-0.06320111063426748,47
2025-06-06 00:00:00+00:00,1,-0.3087465727545453,47
2025-06-07 00:00:00+00:00,1,-0.15209345768938087,47
2025-06-08 00:00:00+00:00,1,-0.0934401113694088,47
2025-06-09 00:00:00+00:00,1,-0.0006361323325411369,47
2025-06-10 00:00:00+00:00,1,-0.0800878951324013,47
2025-06-11 00:00:00+00:00,1,-0.1038480445664964,47
2025-06-12 00:00:00+00:00,1,0.1754994669507855,47
2025-06-13 00:00:00+00:00,1,0.0037008124826524783,47
2025-06-14 00:00:00+00:00,1,-0.20562639356737833,47
2025-06-15 00:00:00+00:00,1,-0.18272233266631768,47
2025-06-16 00:00:00+00:00,1,-0.0006938822759480417,47
2025-06-17 00:00:00+00:00,1,0.2906798678045454,47
2025-06-18 00:00:00+00:00,1,-0.12373876134315272,47
2025-06-19 00:00:00+00:00,1,0.17417452410361717,47
2025-06-20 00:00:00+00:00,1,-0.04117153886950883,47
2025-06-21 00:00:00+00:00,1,-0.032963220868040724,47
2025-06-22 00:00:00+00:00,1,0.05649684928593426,47
2025-06-23 00:00:00+00:00,1,-0.10911614304320666,47
2025-06-24 00:00:00+00:00,1,-0.2695154406828186,47
2025-06-25 00:00:00+00:00,1,0.32552626362491444,47
2025-06-26 00:00:00+00:00,1,0.3706273495643175,47
2025-06-27 00:00:00+00:00,1,-0.1327088226201162,47
2025-06-28 00:00:00+00:00,1,-0.347981961387943,47
2025-06-29 00:00:00+00:00,1,-0.25544343461089825,47
2025-06-30 00:00:00+00:00,1,0.17504192711210131,47
2025-07-01 00:00:00+00:00,1,0.07950734411904646,47
2025-07-02 00:00:00+00:00,1,-0.4014803291727525,47
2025-07-03 00:00:00+00:00,1,-0.3302683410129484,47
2025-07-04 00:00:00+00:00,1,0.18007807221533137,47
2025-07-05 00:00:00+00:00,1,0.18205477295791436,47
2025-07-06 00:00:00+00:00,1,0.00549434688448703,47
2025-07-07 00:00:00+00:00,1,0.04134860161517389,47
2025-07-08 00:00:00+00:00,1,0.116871478467304,47
2025-07-09 00:00:00+00:00,1,-0.28490473596919935,47
2025-07-10 00:00:00+00:00,1,-0.1996298919938186,47
2025-07-11 00:00:00+00:00,1,0.11727967003576595,47
2025-07-12 00:00:00+00:00,1,0.16664739327352138,47
2025-07-13 00:00:00+00:00,1,0.1225315882928219,47
2025-07-14 00:00:00+00:00,1,-0.07094946271568728,47
2025-07-15 00:00:00+00:00,1,-0.22585215037680118,47
2025-07-16 00:00:00+00:00,1,-0.0362017127427956,47
2025-07-17 00:00:00+00:00,1,0.44362838734439675,47
2025-07-18 00:00:00+00:00,1,-0.351209923550612,47
2025-07-19 00:00:00+00:00,1,0.07650715784871015,47
2025-07-20 00:00:00+00:00,1,-0.19978604886819237,47
2025-07-21 00:00:00+00:00,1,-0.20040474158969176,47
2025-07-22 00:00:00+00:00,1,0.2482507410281635,47
2025-07-23 00:00:00+00:00,1,0.013994506575501026,47
2025-07-24 00:00:00+00:00,1,0.44380837194309025,47
2025-07-25 00:00:00+00:00,1,-0.22275553441665266,47
2025-07-26 00:00:00+00:00,1,0.20995721199727832,47
2025-07-27 00:00:00+00:00,1,-0.08050896956709129,47
2025-07-28 00:00:00+00:00,1,0.20480499657824625,47
2025-07-29 00:00:00+00:00,1,-0.039208883769353706,47
2025-07-30 00:00:00+00:00,1,0.017696044887053442,47
2025-07-31 00:00:00+00:00,1,0.06765547819849062,47
2025-08-01 00:00:00+00:00,1,-0.33111648969902313,48
2025-08-02 00:00:00+00:00,1,-0.4553794403125966,48
2025-08-03 00:00:00+00:00,1,0.28721094512980666,48
2025-08-04 00:00:00+00:00,1,0.08468825646207705,48
2025-08-05 00:00:00+00:00,1,0.07263252245046763,48
2025-08-06 00:00:00+00:00,1,-0.26680780855310043,48
2025-08-07 00:00:00+00:00,1,-0.05178169188000809,48
2025-08-08 00:00:00+00:00,1,-0.11388866375267644,48
2025-08-09 00:00:00+00:00,1,0.09050683140987996,48
2025-08-10 00:00:00+00:00,1,-0.17019544375231677,48
2025-08-11 00:00:00+00:00,1,0.3560803558441612,48
2025-08-12 00:00:00+00:00,1,-0.19915863819579033,48
2025-08-13 00:00:00+00:00,1,-0.1471147079929496,48
2025-08-14 00:00:00+00:00,1,0.27364764250583506,48
2025-08-15 00:00:00+00:00,1,-0.2413549767224542,48
2025-08-16 00:00:00+00:00,1,-0.3901194445946246,48
2025-08-17 00:00:00+00:00,1,0.1560260623107363,48
2025-08-18 00:00:00+00:00,1,-0.13506324482895152,48
2025-08-19 00:00:00+00:00,1,-0.009608599009133608,48
2025-08-20 00:00:00+00:00,1,0.16270358689814776,48
2025-08-21 00:00:00+00:00,1,-0.04793572465129104,48
2025-08-22 00:00:00+00:00,1,0.1685170657527083,48
2025-08-23 00:00:00+00:00,1,0.28981652542960457,48
2025-08-24 00:00:00+00:00,1,0.10690629300032779,48
2025-08-25 00:00:00+00:00,1,-0.07877093597850884,48
2025-08-26 00:00:00+00:00,1,-0.19361495217834884,48
2025-08-27 00:00:00+00:00,1,-0.3136924966294555,48
2025-08-28 00:00:00+00:00,1,-0.020466328645001954,48
2025-08-29 00:00:00+00:00,1,-0.1952940538619173,48
2025-08-30 00:00:00+00:00,1,-0.01856375185929653,48
2025-08-31 00:00:00+00:00,1,0.1261603621312232,48
2025-09-01 00:00:00+00:00,1,-0.38894491847271007,50
2025-09-02 00:00:00+00:00,1,-0.031171202188157925,50
2025-09-03 00:00:00+00:00,1,0.23619816389221363,50
2025-09-04 00:00:00+00:00,1,-0.21770766102549907,50
2025-09-05 00:00:00+00:00,1,-0.09467086475548005,50
2025-09-06 00:00:00+00:00,1,0.0243012201158352,50
2025-09-07 00:00:00+00:00,1,0.11641812714004185,50
2025-09-08 00:00:00+00:00,1,-0.01906591441284068,50
2025-09-09 00:00:00+00:00,1,0.46345975343765955,50
2025-09-10 00:00:00+00:00,1,-0.2855358967775021,50
2025-09-11 00:00:00+00:00,1,-0.4789050340676254,50
2025-09-12 00:00:00+00:00,1,0.07544542127677831,50
2025-09-13 00:00:00+00:00,1,0.30668364863710806,50
2025-09-14 00:00:00+00:00,1,0.11233850646767878,50
2025-09-15 00:00:00+00:00,1,-0.05758332592665298,50
2025-09-16 00:00:00+00:00,1,0.0014888099280452396,50
2025-09-17 00:00:00+00:00,1,0.06834610279468217,50
2025-09-18 00:00:00+00:00,1,-0.09648217142417363,50
