entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,entry_effective_stop,entry_effective_risk_fraction
2022-04-27 00:00:00+00:00,2022-05-27 00:00:00+00:00,-1,0.026000000000000002,38093.7,29194.0,234.33482472282995,anchor_or_timeout,45490.14419691969,0.0192703723599912
2022-06-13 00:00:00+00:00,2022-07-13 00:00:00+00:00,-1,0.031,26564.7,19322.9,226.03839392959296,anchor_or_timeout,32973.64951425836,0.019445019205476186
2022-08-27 00:00:00+00:00,2022-09-26 00:00:00+00:00,-1,0.051000000000000004,20228.7,18799.7,75.042177394785,anchor_or_timeout,24307.475726287394,0.019925697024748085
2022-11-10 00:00:00+00:00,2022-12-10 00:00:00+00:00,-1,0.051000000000000004,15905.0,17122.0,-61.764332139111005,anchor_or_timeout,20004.3852971423,0.019875164317946087
2023-02-16 00:00:00+00:00,2023-03-09 00:00:00+00:00,1,0.062,24332.7,21011.078343504476,-212.250850622332,stop,21011.078343504476,0.019720343211973825
2023-03-18 00:00:00+00:00,2023-04-17 00:00:00+00:00,1,0.039,27383.9,30286.6,108.05529328978787,anchor_or_timeout,22170.963331110597,0.019854183122387983
2023-06-22 00:00:00+00:00,2023-07-22 00:00:00+00:00,1,0.048,29988.5,29891.5,-14.112974553312,anchor_or_timeout,25702.753933140288,0.019894158403828525
2023-10-24 00:00:00+00:00,2023-11-23 00:00:00+00:00,1,0.041,33074.0,37413.5,162.373326606913,anchor_or_timeout,28060.710227155276,0.01990154296193888
2023-12-02 00:00:00+00:00,2024-01-01 00:00:00+00:00,1,0.043000000000000003,38659.9,42314.0,124.57805478562595,anchor_or_timeout,33816.608526800366,0.01986424490220209
2024-01-03 00:00:00+00:00,2024-01-23 00:00:00+00:00,1,0.034,44979.7,38863.68214646176,-217.355339058896,stop,38863.68214646176,0.019596933954005104
2024-02-13 00:00:00+00:00,2024-03-14 00:00:00+00:00,1,0.033,49943.6,73127.6,702.7366478393253,anchor_or_timeout,43685.59761550848,0.019872858984305384
2024-05-21 00:00:00+00:00,2024-06-20 00:00:00+00:00,1,0.019,71466.5,64933.6,-136.415704482432,anchor_or_timeout,60204.44996650619,0.019278249207749856
2024-10-16 00:00:00+00:00,2024-11-15 00:00:00+00:00,1,0.024,67044.0,87382.6,468.44838152973614,anchor_or_timeout,58212.533991025,0.019342533607980977
2024-11-21 00:00:00+00:00,2024-12-21 00:00:00+00:00,1,0.016,94288.0,97764.5,33.77194066545599,anchor_or_timeout,80303.10151398828,0.019578319181330787
2025-05-02 00:00:00+00:00,2025-06-01 00:00:00+00:00,1,0.019,96423.2,104544.6,144.20372626748818,anchor_or_timeout,84623.73024944673,0.019569594649614254
2025-07-10 00:00:00+00:00,2025-08-09 00:00:00+00:00,1,0.022,111199.8,116628.2,98.55857817328587,anchor_or_timeout,101053.25651249505,0.019265218347811624
2025-08-14 00:00:00+00:00,2025-08-22 00:00:00+00:00,1,0.02,123323.9,111864.16284269918,-233.11592772122705,stop,111864.16284269918,0.01961286513305742
2025-10-02 00:00:00+00:00,2025-10-10 00:00:00+00:00,1,0.022,118552.0,108296.4006942099,-231.09667885057488,stop,108296.4006942099,0.019704768778398794
2025-11-05 00:00:00+00:00,2025-12-05 00:00:00+00:00,-1,0.013000000000000001,101450.2,92034.7,126.60730780222201,anchor_or_timeout,117577.34027795034,0.01864618646969995
2026-01-30 00:00:00+00:00,2026-03-01 00:00:00+00:00,-1,0.021,84604.7,66937.0,369.92963024535,anchor_or_timeout,95254.92382932972,0.019683527331861798
2026-05-29 00:00:00+00:00,2026-06-28 00:00:00+00:00,-1,0.029,73591.4,60000.4,397.15242673273383,anchor_or_timeout,81657.4945694438,0.01994893798120153
