entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,entry_effective_stop,entry_effective_risk_fraction
2022-03-27 21:00:00+00:00,2022-03-28 23:00:00+00:00,1,0.216,46122.6,46915.01278707438,167.2686046285904,stop,45253.49127316591,0.01917124776361624
2022-04-18 05:00:00+00:00,2022-04-18 13:00:00+00:00,-1,0.255,38830.5,39609.7042760806,-202.7151987976067,stop,39609.7042760806,0.019932374099794523
2022-04-25 08:00:00+00:00,2022-04-25 14:00:00+00:00,-1,0.223,38445.5,39319.964102653394,-198.4738345906851,stop,39319.964102653394,0.01991407195184363
2022-05-01 00:00:00+00:00,2022-05-01 15:00:00+00:00,-1,0.24,37630.5,38426.957621756395,-194.84448368525085,stop,38426.957621756395,0.01994273708306473
2022-05-05 16:00:00+00:00,2022-05-08 17:00:00+00:00,-1,0.176,36900.0,33685.7830346579,564.2513891028076,target,37971.40565511403,0.019972882658438825
2022-05-08 18:00:00+00:00,2022-05-09 17:00:00+00:00,-1,0.203,34075.1,31130.320282364486,598.3701648395962,target,35056.69323921183,0.019932967810206297
2022-05-09 18:00:00+00:00,2022-05-12 04:00:00+00:00,-1,0.15,31274.9,27042.46827917733,633.9035594442825,target,32685.710573607557,0.019890155716794523
2022-06-12 03:00:00+00:00,2022-06-12 15:00:00+00:00,-1,0.242,27417.9,28344.37983929957,-226.1312813025458,stop,28344.37983929957,0.019956629082631586
2022-06-13 00:00:00+00:00,2022-06-13 13:00:00+00:00,-1,0.212,26582.3,23465.757249253988,658.7094807968349,target,27621.147583582002,0.019969240437294127
2022-06-13 15:00:00+00:00,2022-06-18 20:00:00+00:00,-1,0.145,22805.1,17970.172280001934,698.1282507753168,target,24416.742573332685,0.019915604193567527
2022-06-18 21:00:00+00:00,2022-06-18 22:00:00+00:00,-1,0.222,17811.9,18927.02533839225,-249.1890334081038,stop,18927.02533839225,0.019933606961213338
2022-08-11 13:00:00+00:00,2022-08-11 18:00:00+00:00,1,0.356,24857.3,24180.716545517786,-244.49953663623148,stop,24180.716545517786,0.01995247368387254
2022-08-27 00:00:00+00:00,2022-09-07 18:00:00+00:00,-1,0.398,20236.5,19158.241749302706,424.2626486832494,stop,20831.105311320902,0.019981590920204687
2022-09-19 06:00:00+00:00,2022-09-19 13:00:00+00:00,-1,0.457,18458.6,18994.323953926596,-247.55797828937574,stop,18994.323953926596,0.01996936726004641
2022-11-04 15:00:00+00:00,2022-11-04 16:00:00+00:00,1,0.5690000000000001,21218.6,20799.138439578153,-243.12646610354176,stop,20799.138439578153,0.0199896011188645
2022-11-05 01:00:00+00:00,2022-11-06 23:00:00+00:00,1,0.47900000000000004,21437.8,20948.882146579697,-240.50016752093123,stop,20948.882146579697,0.01996079934040902
2022-11-09 19:00:00+00:00,2022-11-10 15:00:00+00:00,-1,0.189,16601.8,17832.261002465668,-239.2311716892844,stop,17832.261002465668,0.019987613387337316
2023-01-12 18:00:00+00:00,2023-01-14 00:00:00+00:00,1,0.523,18846.9,20136.898439467535,671.1155276209827,target,18416.90052017749,0.01997032807170466
2023-01-14 01:00:00+00:00,2023-01-21 09:00:00+00:00,1,0.331,20906.3,23078.13164575155,703.511795196698,target,20182.356118082815,0.019983396970181866
2023-01-21 10:00:00+00:00,2023-01-22 20:00:00+00:00,1,0.47200000000000003,23034.5,22501.012435189397,-259.0526860114984,stop,22501.012435189397,0.019960259396449253
2023-01-25 22:00:00+00:00,2023-01-25 22:00:00+00:00,1,0.417,23599.9,23006.787468659022,-251.21492330407452,stop,23006.787468659022,0.01998253544725235
2023-01-29 20:00:00+00:00,2023-01-30 09:00:00+00:00,1,0.515,23903.8,23447.999145157042,-243.83242335242582,stop,23447.999145157042,0.01944834223700153
2023-02-02 01:00:00+00:00,2023-02-02 14:00:00+00:00,1,0.422,24196.9,23634.847578974863,-242.77547533136058,stop,23634.847578974863,0.01997413011035775
2023-02-16 01:00:00+00:00,2023-02-16 23:00:00+00:00,1,0.34600000000000003,24602.1,23928.876500664504,-241.17211199617472,stop,23928.876500664504,0.01996728105069266
2023-03-09 19:00:00+00:00,2023-03-10 10:00:00+00:00,-1,0.515,21012.8,19688.005622132492,678.1069328646173,target,21454.398125955835,0.019986854797414706
2023-03-10 11:00:00+00:00,2023-03-10 13:00:00+00:00,-1,0.401,19625.2,20229.252556465628,-245.4214022377451,stop,20229.252556465628,0.01999240022423138
2023-03-17 11:00:00+00:00,2023-03-22 18:00:00+00:00,1,0.247,26696.4,27922.897202085194,302.69792153691077,stop,25734.534011292693,0.01997179055859768
2023-03-30 03:00:00+00:00,2023-03-30 03:00:00+00:00,1,0.326,28970.3,28226.15432914981,-246.32069751942254,stop,28226.15432914981,0.019980329712945746
2023-04-10 23:00:00+00:00,2023-04-14 15:00:00+00:00,1,0.40800000000000003,29585.0,30371.789344482713,315.93827086190714,stop,29069.039180605774,0.017819887554513046
2023-06-14 21:00:00+00:00,2023-06-15 19:00:00+00:00,-1,0.49,24937.1,25432.476819845026,-248.59577311908097,stop,25432.476819845026,0.019969210174615868
2023-06-21 16:00:00+00:00,2023-07-11 16:00:00+00:00,1,0.302,29857.8,30594.3,183.79305883981488,anchor_or_timeout,29067.47846532371,0.019938421960303352
2023-07-13 20:00:00+00:00,2023-07-13 21:00:00+00:00,1,0.39,31621.0,31022.61193429651,-238.25754735523614,stop,31022.61193429651,0.01931872208726269
2023-08-17 16:00:00+00:00,2023-08-17 21:00:00+00:00,-1,0.433,27928.1,26747.45811734566,506.4830318563661,target,28321.64729421811,0.014486320477637173
2023-08-17 22:00:00+00:00,2023-08-29 14:00:00+00:00,-1,0.275,26184.7,27089.947189566126,-254.30856231773967,stop,27089.947189566126,0.019980221983982218
2023-10-02 14:00:00+00:00,2023-10-02 15:00:00+00:00,1,0.432,28568.1,28096.783928971417,-208.50438865581015,stop,28096.783928971417,0.01688717373498569
2023-10-23 04:00:00+00:00,2023-10-23 22:00:00+00:00,1,0.394,30738.4,32509.876193546785,691.7558474731262,target,30147.907935484407,0.01956196808854907
2023-10-23 23:00:00+00:00,2023-11-09 14:00:00+00:00,1,0.188,33378.8,37418.903102347955,720.373814814734,target,32032.09896588402,0.019925069837793144
2023-11-09 15:00:00+00:00,2023-11-09 16:00:00+00:00,1,0.293,37904.4,36995.66526636861,-271.8005734065577,stop,36995.66526636861,0.019973641855395866
2023-12-01 10:00:00+00:00,2023-12-04 01:00:00+00:00,1,0.343,38711.6,40467.227919360565,588.2956811861181,target,38126.39069354648,0.01551357432716025
2023-12-04 02:00:00+00:00,2023-12-05 16:00:00+00:00,1,0.341,40606.6,42700.60181464908,698.0350792446104,target,39908.59939511697,0.01756069040069382
2023-12-05 17:00:00+00:00,2023-12-09 23:00:00+00:00,1,0.315,42714.0,43682.10724368819,259.3252154554963,stop,41806.9324320525,0.019983438519470847
2024-01-02 01:00:00+00:00,2024-01-03 11:00:00+00:00,1,0.319,45161.1,44252.16886883153,-319.4545986820828,stop,44252.16886883153,0.01994439636752183
2024-01-08 19:00:00+00:00,2024-01-09 12:00:00+00:00,1,0.219,46996.1,45694.38749333001,-294.1873253082983,stop,45694.38749333001,0.019934169773017235
2024-01-11 15:00:00+00:00,2024-01-11 15:00:00+00:00,1,0.147,48573.5,46667.33482700467,-283.0063609742274,stop,46667.33482700467,0.019915516987280855
2024-01-23 10:00:00+00:00,2024-01-24 00:00:00+00:00,-1,0.255,38967.6,40044.27889267703,-276.8769051023243,stop,40044.27889267703,0.019994599295225606
2024-02-11 04:00:00+00:00,2024-02-14 09:00:00+00:00,1,0.281,48540.0,51338.40388967584,754.3048250174807,target,47607.19870344138,0.01959771945637459
2024-02-14 10:00:00+00:00,2024-02-27 01:00:00+00:00,1,0.225,51553.4,55317.14731347107,763.4264259118703,target,50298.817562176315,0.019914576261663944
2024-02-27 02:00:00+00:00,2024-02-28 08:00:00+00:00,1,0.262,55825.5,59231.72609308676,866.0440773574871,target,54690.09130230441,0.01999390012837295
2024-02-28 09:00:00+00:00,2024-02-28 17:00:00+00:00,1,0.199,59477.0,64223.368942872585,932.9879316308118,target,57894.87701904247,0.019927407380092122
2024-03-04 09:00:00+00:00,2024-03-05 05:00:00+00:00,1,0.20500000000000002,65327.4,66433.26407704208,202.7880581431888,stop,63699.19676350832,0.019984545569176983
2024-03-11 08:00:00+00:00,2024-03-12 17:00:00+00:00,1,0.184,71208.0,69371.26585127856,-377.4484670750397,stop,69371.26585127856,0.019985061191634783
2024-03-13 09:00:00+00:00,2024-03-14 13:00:00+00:00,1,0.161,73468.2,71412.57029999886,-344.1303652446315,stop,71412.57029999886,0.019986911243846488
2024-04-30 20:00:00+00:00,2024-05-03 13:00:00+00:00,-1,0.182,59304.1,61086.4823050812,-327.5026213969318,stop,61086.4823050812,0.019980910926434524
2024-05-20 17:00:00+00:00,2024-05-21 00:00:00+00:00,1,0.23600000000000002,68195.0,71813.58640143447,842.2360570529275,target,66988.80453285518,0.018054101825719916
2024-06-21 09:00:00+00:00,2024-06-24 16:00:00+00:00,-1,0.266,63638.5,60263.874581722725,895.542568302848,target,64763.375139425756,0.01803538022696152
2024-06-24 17:00:00+00:00,2024-06-25 03:00:00+00:00,-1,0.263,60172.2,61503.62890695691,-356.8524042567702,stop,61503.62890695691,0.019958874774590823
2024-07-04 09:00:00+00:00,2024-07-05 15:00:00+00:00,-1,0.213,57696.8,56131.99834304101,328.5120005466853,stop,59310.7505124225,0.01991966701134266
2024-07-19 18:00:00+00:00,2024-07-24 21:00:00+00:00,1,0.224,66764.9,65205.67757623385,-370.65317753386313,stop,65205.67757623385,0.019920613662149422
2024-07-27 14:00:00+00:00,2024-07-27 19:00:00+00:00,1,0.252,69252.2,68036.0872984281,-316.63261092344055,stop,68036.0872984281,0.01794934740753478
2024-07-29 03:00:00+00:00,2024-07-29 14:00:00+00:00,1,0.245,69585.1,68215.2288707439,-345.56183198250943,stop,68215.2288707439,0.019971994067458705
2024-08-05 07:00:00+00:00,2024-08-05 15:00:00+00:00,-1,0.105,51584.0,54754.43927985187,-335.5190593434246,stop,54754.43927985187,0.019943806819913066
2024-09-06 16:00:00+00:00,2024-09-09 13:00:00+00:00,-1,0.186,54040.6,55781.9305524559,-330.61447682167557,stop,55781.9305524559,0.019915684934924075
2024-09-27 15:00:00+00:00,2024-09-30 01:00:00+00:00,1,0.243,66245.1,64983.34140045268,-320.6550483241251,stop,64983.34140045268,0.01940265515640414
2024-10-15 14:00:00+00:00,2024-10-15 14:00:00+00:00,1,0.226,67679.9,66309.20727398401,-315.832863728397,stop,66309.20727398401,0.01997621495378883
2024-10-18 16:00:00+00:00,2024-10-21 13:00:00+00:00,1,0.225,68741.8,67429.75407202181,-310.2255206706854,stop,67429.75407202181,0.0194478416811027
2024-10-28 20:00:00+00:00,2024-10-29 16:00:00+00:00,1,0.218,69635.9,72911.99943429574,703.3983755322961,target,68543.86685523475,0.016074775639733706
2024-10-29 17:00:00+00:00,2024-10-31 13:00:00+00:00,1,0.218,72762.7,71430.18524058246,-312.03566979399255,stop,71430.18524058246,0.018679455746965626
2024-11-06 04:00:00+00:00,2024-11-10 21:00:00+00:00,1,0.128,74377.9,78904.4273774016,550.1514063232544,stop,71986.25243531956,0.019894857804380592
2024-11-11 11:00:00+00:00,2024-11-11 23:00:00+00:00,1,0.147,81999.2,88452.29198011883,941.6058954305446,target,79848.16933996038,0.019903465852084638
2024-11-12 00:00:00+00:00,2024-11-12 10:00:00+00:00,1,0.114,88700.1,85754.24377556625,-347.2621597602506,stop,85754.24377556625,0.019909795642346184
2024-11-13 15:00:00+00:00,2024-11-14 15:00:00+00:00,1,0.089,91536.0,87855.39478249568,-336.8235349642604,stop,87855.39478249568,0.01978267577878591
