entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,entry_effective_stop,entry_effective_risk_fraction
2022-02-24 04:00:00+00:00,2022-02-24 18:00:00+00:00,-1,0.122,34897.32766,36499.00736330653,-200.8540396717284,stop,36488.060945023026,0.019960417693968485
2022-03-27 21:00:00+00:00,2022-03-28 23:00:00+00:00,1,0.203,46127.8342,46843.4109266937,132.95880324846246,stop,45224.88936801514,0.01994775229695204
2022-04-18 05:00:00+00:00,2022-04-18 13:00:00+00:00,-1,0.23500000000000001,38786.760480000004,39590.52217482119,-199.66548165841047,stop,39578.64858024712,0.019929618504490033
2022-04-25 08:00:00+00:00,2022-04-25 13:00:00+00:00,-1,0.20800000000000002,38425.66884,39319.23438368827,-193.94710302242447,stop,39307.44215104296,0.019912700602337897
2022-05-01 00:00:00+00:00,2022-05-01 15:00:00+00:00,-1,0.222,37603.11568,38423.580232159766,-190.57409143611716,stop,38412.056615175214,0.019965120610518586
2022-05-05 16:00:00+00:00,2022-05-09 02:00:00+00:00,-1,0.152,36875.43405,33354.616429222064,530.4918313999141,target,38052.37438489718,0.01991689646087217
2022-05-09 03:00:00+00:00,2022-05-09 23:00:00+00:00,-1,0.17200000000000001,33489.950000000004,30201.915907199287,561.1969783337042,target,34588.98065007189,0.019894054432502212
2022-05-10 00:00:00+00:00,2022-05-10 05:00:00+00:00,-1,0.115,30046.983200000002,31822.305705849714,-207.71957228480323,stop,31812.761877286528,0.019881646303382385
2022-05-11 13:00:00+00:00,2022-05-11 13:00:00+00:00,-1,0.088,29285.81162,31559.340044579294,-202.74768803621933,stop,31549.875082054677,0.01979965915153872
2022-05-11 21:00:00+00:00,2022-05-15 20:00:00+00:00,-1,0.074,28455.26086,31137.80008300491,-201.08405462169858,stop,31128.461544541547,0.019997153695364256
2022-06-12 03:00:00+00:00,2022-06-12 15:00:00+00:00,-1,0.20400000000000001,27401.27715,28334.77430485259,-196.08676380498335,stop,28326.276421926013,0.01993951586181495
2022-06-13 00:00:00+00:00,2022-06-13 13:00:00+00:00,-1,0.179,26556.730590000003,23446.73420225361,552.0727816983396,target,27595.74002281129,0.01995048398760518
2022-06-13 15:00:00+00:00,2022-06-18 20:00:00+00:00,-1,0.124,22782.863090000003,17951.420855334185,596.0920672941867,target,24395.13843859303,0.019991546455658992
2022-06-18 21:00:00+00:00,2022-06-18 22:00:00+00:00,-1,0.19,17792.6606,18904.828032822,-214.79807365629804,stop,18899.158285336398,0.01990971114119033
2022-08-11 13:00:00+00:00,2022-08-11 18:00:00+00:00,1,0.293,24859.05548,24165.222194195616,-210.82539147692592,stop,24172.47393637653,0.019936631888718814
2022-08-27 00:00:00+00:00,2022-09-07 18:00:00+00:00,-1,0.324,20222.631390000002,19155.210093788774,339.47665457187634,stop,20834.617365122944,0.01997209179776224
2022-09-19 06:00:00+00:00,2022-09-19 13:00:00+00:00,-1,0.377,18442.76551,18990.5931332448,-214.23365208548248,stop,18984.89766394562,0.019957254882607748
2022-11-04 15:00:00+00:00,2022-11-04 16:00:00+00:00,1,0.466,21215.362699999998,20787.134955275156,-210.0103560281833,stop,20793.372967165305,0.019990879377659625
2022-11-05 01:00:00+00:00,2022-11-06 23:00:00+00:00,1,0.397,21432.927949999998,20938.421283713495,-207.9063193798518,stop,20944.70469512203,0.01995046704857103
2022-11-09 19:00:00+00:00,2022-11-10 15:00:00+00:00,-1,0.16,16582.92363,17818.994209307508,-206.55459476194568,stop,17813.650114273227,0.019913410937817677
2023-01-12 18:00:00+00:00,2023-01-14 00:00:00+00:00,1,0.41500000000000004,18845.652,20189.63065193533,546.7933615461167,target,18395.63954708568,0.01998140677453958
2023-01-14 01:00:00+00:00,2023-01-21 09:00:00+00:00,1,0.276,20908.070539999997,23074.911507011697,576.1459497850617,target,20183.482034056982,0.019946812289127504
2023-01-21 10:00:00+00:00,2023-01-22 20:00:00+00:00,1,0.388,23034.50828,22491.94773522121,-222.8944348011232,stop,22498.697344424534,0.01999533841246288
2023-01-25 22:00:00+00:00,2023-01-25 22:00:00+00:00,1,0.343,23600.377989999997,22998.025945726647,-214.59837746073612,stop,23004.92742395383,0.019968054571517294
2023-01-29 20:00:00+00:00,2023-01-30 09:00:00+00:00,1,0.434,23903.66895,23442.023292612328,-212.6848784028962,stop,23449.05801001533,0.019997441286999432
2023-02-02 01:00:00+00:00,2023-02-02 14:00:00+00:00,1,0.34700000000000003,24201.658320000002,23631.2514501809,-207.0556025723555,stop,23638.342953066818,0.019983242643114015
2023-02-16 01:00:00+00:00,2023-02-16 23:00:00+00:00,1,0.28200000000000003,24617.28297,23926.19968657817,-204.06415490777786,stop,23933.379700488316,0.019947204648626277
2023-03-09 19:00:00+00:00,2023-03-10 10:00:00+00:00,-1,0.41200000000000003,20994.99961,19640.290429646306,549.0668154775545,target,21448.532776795524,0.019976011770370332
2023-03-10 11:00:00+00:00,2023-03-10 13:00:00+00:00,-1,0.327,19608.21577,20228.120818479594,-209.22219188504408,stop,20222.05420221893,0.019975234794692157
2023-03-17 11:00:00+00:00,2023-03-30 03:00:00+00:00,1,0.203,26702.808439999997,28190.420493693404,285.3554334228937,stop,25727.67002803528,0.01998679899493796
2023-04-10 23:00:00+00:00,2023-04-14 15:00:00+00:00,1,0.356,29588.874,30328.925599723847,244.15440105050268,stop,29058.237915967464,0.019218155619571034
2023-06-14 21:00:00+00:00,2023-06-15 19:00:00+00:00,-1,0.41000000000000003,24912.62397,25413.9322819729,-214.87142557663267,stop,25406.310388856244,0.019996689793313708
2023-06-21 16:00:00+00:00,2023-07-11 16:00:00+00:00,1,0.255,29845.85107,30576.324350000003,140.8647078325055,anchor_or_timeout,29055.618816152735,0.019997633971941136
2023-07-13 20:00:00+00:00,2023-07-13 21:00:00+00:00,1,0.331,31609.98015,30994.65006171531,-214.0353255222709,stop,31003.951247089437,0.019995510808283986
2023-08-17 16:00:00+00:00,2023-08-17 21:00:00+00:00,-1,0.376,27912.52373,26719.54769010994,438.28816157168256,target,28312.853563386336,0.01563764194554307
2023-08-17 22:00:00+00:00,2023-08-29 14:00:00+00:00,-1,0.252,26242.125,27083.129420547433,-215.79561509529415,stop,27075.006918471892,0.019977385513879974
2023-10-02 14:00:00+00:00,2023-10-02 15:00:00+00:00,1,0.375,28548.561999999998,28074.0785236566,-188.5480487269596,stop,28082.50327463899,0.017600430924577026
2023-10-23 04:00:00+00:00,2023-10-23 22:00:00+00:00,1,0.336,30733.11717,32480.09619333684,575.3148912292897,target,30147.541844573094,0.01995574712429898
2023-10-23 23:00:00+00:00,2023-11-09 14:00:00+00:00,1,0.157,33368.80764,37470.3887701184,611.2284360503946,target,31997.86576663452,0.01999086524292657
2023-11-09 15:00:00+00:00,2023-11-09 16:00:00+00:00,1,0.229,37933.77672,36951.06433344723,-235.31882798014865,stop,36962.15297934104,0.019950527138413884
2023-12-01 10:00:00+00:00,2023-12-04 01:00:00+00:00,1,0.296,38717.71183,40455.388695626934,493.8844501600837,target,38134.43945522892,0.016332019555202817
2023-12-04 02:00:00+00:00,2023-12-05 16:00:00+00:00,1,0.294,40625.78408,42724.21556472384,598.5551247610351,target,39922.03321475781,0.01857097351522111
2023-12-05 17:00:00+00:00,2023-12-09 23:00:00+00:00,1,0.258,42725.51381,43693.08408143343,218.9950482236448,stop,41807.346839899896,0.01997617018347637
2024-01-02 01:00:00+00:00,2024-01-03 11:00:00+00:00,1,0.265,45193.25390999999,44275.39161962059,-270.3326896066463,stop,44288.67822308752,0.019951920957178276
2024-01-08 19:00:00+00:00,2024-01-09 12:00:00+00:00,1,0.182,46983.99097,45658.85815664233,-251.31207882162002,stop,45672.559924619716,0.019944646097986424
2024-01-11 15:00:00+00:00,2024-01-11 15:00:00+00:00,1,0.123,48591.673129999996,46658.8486320388,-243.59532033759285,stop,46672.85048718495,0.019863205328448673
2024-01-22 20:00:00+00:00,2024-01-26 11:00:00+00:00,-1,0.224,39800.65622,40834.16982930954,-230.71897684286017,stop,40821.92325233384,0.019980196469398373
2024-02-11 04:00:00+00:00,2024-02-14 09:00:00+00:00,1,0.23800000000000002,48532.15528,51298.718909327115,634.8762317513239,target,47604.8359922433,0.01997798299523114
2024-02-14 10:00:00+00:00,2024-02-27 01:00:00+00:00,1,0.185,51583.77049,55386.91909770662,642.2875355317358,target,50310.51393341515,0.019942352081684562
2024-02-27 02:00:00+00:00,2024-02-28 08:00:00+00:00,1,0.215,55874.05719,59286.38594330701,703.3515912674918,target,54730.68385451135,0.019993971833406246
2024-02-28 09:00:00+00:00,2024-02-28 17:00:00+00:00,1,0.165,59521.55110999999,64251.05664968789,764.7685742083287,target,57938.62222966226,0.019881178788163603
2024-03-04 09:00:00+00:00,2024-03-05 16:00:00+00:00,1,0.169,65350.89939,66168.42057079928,95.00329041277712,stop,63720.040269045385,0.01993739688868398
2024-03-11 08:00:00+00:00,2024-03-12 17:00:00+00:00,1,0.153,71245.26716999999,69409.63595382628,-314.10811782244514,stop,69430.46509335429,0.01993524506030698
2024-03-13 09:00:00+00:00,2024-03-14 14:00:00+00:00,1,0.131,73533.45341999999,71421.47576727187,-296.5427777930832,stop,71442.90863986383,0.019991826621556356
2024-04-30 20:00:00+00:00,2024-04-30 22:00:00+00:00,-1,0.149,59258.31717,61071.262925362,-279.0934712660427,stop,61052.94704124963,0.01987937748291463
2024-05-01 08:00:00+00:00,2024-05-02 18:00:00+00:00,-1,0.132,57464.7554,59480.746632974435,-272.1155953561215,stop,59462.907760646245,0.01990025699438338
2024-05-20 17:00:00+00:00,2024-05-21 00:00:00+00:00,1,0.197,68184.84932,71775.58143084506,692.1802333575206,target,66980.75890432826,0.018896054855072578
2024-06-21 09:00:00+00:00,2024-06-24 16:00:00+00:00,-1,0.222,63594.51592,60243.81326174877,741.1243524920341,target,64717.439380637545,0.01888864160913754
2024-06-24 17:00:00+00:00,2024-06-25 03:00:00+00:00,-1,0.21,60126.45665,61482.26344785092,-296.5457439745177,stop,61463.82430056075,0.019936251915268967
2024-07-05 03:00:00+00:00,2024-07-06 16:00:00+00:00,-1,0.14,55739.67308,57771.586413585654,-290.2028891061225,stop,57754.260135544995,0.019993531634691
2024-07-19 18:00:00+00:00,2024-07-24 21:00:00+00:00,1,0.17500000000000002,66731.21336,65161.63923211332,-293.16168992262845,stop,65181.19359019037,0.01999703509738191
2024-07-27 14:00:00+00:00,2024-07-27 19:00:00+00:00,1,0.202,69226.66176999999,67993.9894130574,-264.1254372198352,stop,68014.39373117675,0.018748674141019335
2024-07-29 03:00:00+00:00,2024-07-29 14:00:00+00:00,1,0.187,69547.95813,68151.1091837419,-274.81651934670555,stop,68171.56065193747,0.019924592724321722
2024-08-05 07:00:00+00:00,2024-08-05 15:00:00+00:00,-1,0.083,51546.5314,54729.60267265974,-268.4118462839819,stop,54713.188716044926,0.019893210471975568
2024-09-06 16:00:00+00:00,2024-09-09 13:00:00+00:00,-1,0.146,54005.89337,55752.749677763,-266.049320592691,stop,55736.02886910227,0.01987772625569586
2024-09-27 15:00:00+00:00,2024-09-30 01:00:00+00:00,1,0.19,66223.06095999999,64927.05010180548,-262.65026373857836,stop,64946.53406202408,0.019980800267491956
2024-10-15 14:00:00+00:00,2024-10-15 14:00:00+00:00,1,0.17300000000000001,67667.09404,66271.94499453131,-252.9465117425697,stop,66291.8325442946,0.019940572608592763
2024-10-18 16:00:00+00:00,2024-10-21 13:00:00+00:00,1,0.176,68730.613,67393.17531856456,-257.00906802466983,stop,67413.39933836607,0.019897210277284187
2024-10-28 20:00:00+00:00,2024-10-29 16:00:00+00:00,1,0.17500000000000002,69586.96983,72853.73274240144,555.486867445166,target,68490.76129965742,0.017043311876946316
2024-10-29 17:00:00+00:00,2024-10-31 13:00:00+00:00,1,0.17500000000000002,72741.71596999999,71387.82511392092,-255.87390790868093,stop,71409.2478882874,0.01960181496099319
2024-11-06 04:00:00+00:00,2024-11-10 21:00:00+00:00,1,0.098,74389.41013,78929.32785086839,425.413348162357,stop,71959.96396331907,0.019829931240256348
2024-11-11 11:00:00+00:00,2024-11-11 21:00:00+00:00,1,0.114,82034.603,88433.66296809285,718.8172444624028,target,79892.73699053288,0.01985560186868712
2024-11-11 22:00:00+00:00,2024-11-12 13:00:00+00:00,1,0.095,88015.59676,85250.06020356531,-278.7995688155396,stop,85275.64289643423,0.019896893239688733
2024-11-13 15:00:00+00:00,2024-11-14 15:00:00+00:00,1,0.07,91590.46889999999,87908.74155801571,-266.6888400185303,stop,87935.1220946441,0.019791326447971904
2024-11-19 19:00:00+00:00,2024-11-24 12:00:00+00:00,1,0.096,93720.40769,97140.11619187215,305.5286273839891,stop,91134.71348419863,0.019867154913114745
2024-12-05 03:00:00+00:00,2024-12-05 19:00:00+00:00,1,0.091,101571.16221,98731.20938444565,-278.63334496056734,stop,98760.83763573637,0.01999879470782104
2024-12-16 01:00:00+00:00,2024-12-16 12:00:00+00:00,1,0.122,105466.73053,103437.28246902385,-261.616198232031,stop,103468.32296591361,0.019872911070658705
2024-12-16 17:00:00+00:00,2024-12-18 04:00:00+00:00,1,0.106,106801.0307,104485.36160060977,-260.9275786279687,stop,104516.71661559444,0.01999127699282718
2025-01-17 20:00:00+00:00,2025-01-18 03:00:00+00:00,1,0.097,105802.7313,103315.7704916686,-252.05432505169517,stop,103346.77452402581,0.019985821712805
2025-01-19 20:00:00+00:00,2025-01-19 21:00:00+00:00,1,0.096,106279.77436999998,103832.28711532269,-245.044155400316,stop,103863.44614916743,0.019880369147482996
2025-01-20 07:00:00+00:00,2025-01-20 17:00:00+00:00,1,0.054,107583.56539,103241.37949774285,-241.31608423385546,stop,103272.36120610467,0.019880181844148553
2025-02-25 08:00:00+00:00,2025-02-28 01:00:00+00:00,-1,0.095,89236.02116,82175.00318424165,666.6228460050872,target,91597.9088543938,0.019866678156022024
2025-02-28 02:00:00+00:00,2025-02-28 18:00:00+00:00,-1,0.073,81581.5182,84915.32431327035,-248.9176518208515,stop,84889.85735606353,0.019915200236913032
2025-03-10 19:00:00+00:00,2025-03-11 08:00:00+00:00,-1,0.07,77597.31382000001,81016.49434828128,-244.45191636427884,stop,80992.1966892745,0.019948587955638974
2025-04-07 07:00:00+00:00,2025-04-07 10:00:00+00:00,-1,0.089,74758.96558,77363.66546243551,-238.12952862855582,stop,77340.46332343848,0.019830159565896677
2025-04-22 13:00:00+00:00,2025-04-22 21:00:00+00:00,1,0.132,88974.18424999999,93576.60967581275,596.3169435095209,target,87430.68197228742,0.018585220804532756
2025-04-22 22:00:00+00:00,2025-05-03 06:00:00+00:00,1,0.11,93002.09225999999,96139.58968999512,340.48832814888436,stop,90876.38198859832,0.019961140838990775
2025-05-08 03:00:00+00:00,2025-05-08 21:00:00+00:00,1,0.128,98655.48776999999,103739.08424464654,636.4233765272606,target,96950.57859025356,0.01844558026710025
2025-05-11 00:00:00+00:00,2025-05-12 14:00:00+00:00,1,0.127,104820.23664,103223.21728053247,-219.81356953959698,stop,103254.19353859405,0.016185358047701527
