time,daily_1D_4D,hourly_1h_4h
2022-05-08 00:00:00+00:00,0.7804237511307326,0.21957624886926744
2022-05-09 00:00:00+00:00,0.7847888857178625,0.21521111428213757
2022-05-10 00:00:00+00:00,0.8349388529969305,0.16506114700306945
2022-05-11 00:00:00+00:00,0.7979046833594011,0.2020953166405989
2022-05-12 00:00:00+00:00,0.7962327782494206,0.20376722175057937
2022-05-13 00:00:00+00:00,0.7894992342874507,0.21050076571254928
2022-05-14 00:00:00+00:00,0.7912551047880632,0.2087448952119368
2022-05-15 00:00:00+00:00,0.7912048071409924,0.20879519285900774
2022-05-16 00:00:00+00:00,0.7905866743627309,0.20941332563726925
2022-05-17 00:00:00+00:00,0.7875275688324423,0.21247243116755768
2022-05-18 00:00:00+00:00,0.7841427805258951,0.2158572194741049
2022-05-19 00:00:00+00:00,0.7834412548025523,0.2165587451974476
2022-05-20 00:00:00+00:00,0.7789008828148369,0.22109911718516312
2022-05-21 00:00:00+00:00,0.7752619488768602,0.2247380511231398
2022-05-22 00:00:00+00:00,0.77394340238138,0.22605659761861982
2022-05-23 00:00:00+00:00,0.7738276546549689,0.22617234534503092
2022-05-24 00:00:00+00:00,0.7727636083588811,0.2272363916411188
2022-05-25 00:00:00+00:00,0.7713941507139733,0.22860584928602679
2022-05-26 00:00:00+00:00,0.7664740594763516,0.2335259405236484
2022-05-27 00:00:00+00:00,0.7665481388157301,0.2334518611842699
2022-05-28 00:00:00+00:00,0.7665342642226026,0.2334657357773973
2022-05-29 00:00:00+00:00,0.7665396892067835,0.23346031079321647
2022-05-30 00:00:00+00:00,0.7665013109157571,0.2334986890842428
2022-05-31 00:00:00+00:00,0.7673717990716926,0.2326282009283073
2022-06-01 00:00:00+00:00,0.7668589549193829,0.23314104508061703
2022-06-02 00:00:00+00:00,0.7668429555364519,0.23315704446354812
2022-06-03 00:00:00+00:00,0.7666256764587437,0.23337432354125637
2022-06-04 00:00:00+00:00,0.7667023424214586,0.23329765757854135
2022-06-05 00:00:00+00:00,0.766711017735004,0.233288982264996
2022-06-06 00:00:00+00:00,0.7666880998055464,0.23331190019445364
2022-06-07 00:00:00+00:00,0.766674197352813,0.23332580264718703
2022-06-08 00:00:00+00:00,0.7664431053748181,0.23355689462518192
2022-06-09 00:00:00+00:00,0.7668070394881481,0.23319296051185187
2022-06-10 00:00:00+00:00,0.7668606296951707,0.23313937030482929
2022-06-11 00:00:00+00:00,0.7668547162999594,0.2331452837000407
2022-06-12 00:00:00+00:00,0.7668335576693355,0.2331664423306646
2022-06-13 00:00:00+00:00,0.7672833110446153,0.23271668895538475
2022-06-14 00:00:00+00:00,0.8229614153123517,0.17703858468764833
2022-06-15 00:00:00+00:00,0.799926687752594,0.20007331224740604
2022-06-16 00:00:00+00:00,0.8018084461645644,0.19819155383543566
2022-06-17 00:00:00+00:00,0.8053795755779035,0.19462042442209643
2022-06-18 00:00:00+00:00,0.8002399654790228,0.1997600345209773
2022-06-19 00:00:00+00:00,0.801442590903964,0.19855740909603606
2022-06-20 00:00:00+00:00,0.8017253865068577,0.19827461349314232
2022-06-21 00:00:00+00:00,0.7981732418928721,0.20182675810712788
2022-06-22 00:00:00+00:00,0.7982959196179401,0.20170408038205986
2022-06-23 00:00:00+00:00,0.7982542459067312,0.20174575409326873
2022-06-24 00:00:00+00:00,0.7979815494314346,0.2020184505685653
2022-06-25 00:00:00+00:00,0.7961664897391098,0.20383351026089033
2022-06-26 00:00:00+00:00,0.7942307195196927,0.2057692804803073
2022-06-27 00:00:00+00:00,0.7929413374576357,0.20705866254236432
2022-06-28 00:00:00+00:00,0.7926085467331524,0.2073914532668475
2022-06-29 00:00:00+00:00,0.792494704907589,0.2075052950924109
2022-06-30 00:00:00+00:00,0.7908427167272684,0.2091572832727317
2022-07-01 00:00:00+00:00,0.7907969127585639,0.2092030872414362
2022-07-02 00:00:00+00:00,0.7908107697178598,0.2091892302821403
2022-07-03 00:00:00+00:00,0.7906131956255126,0.20938680437448737
2022-07-04 00:00:00+00:00,0.7906074817823826,0.20939251821761742
2022-07-05 00:00:00+00:00,0.790571590635549,0.20942840936445087
2022-07-06 00:00:00+00:00,0.7892997542431294,0.21070024575687055
2022-07-07 00:00:00+00:00,0.7894415446681489,0.21055845533185105
2022-07-08 00:00:00+00:00,0.7891240677572949,0.21087593224270496
2022-07-09 00:00:00+00:00,0.7875346263053236,0.21246537369467655
2022-07-10 00:00:00+00:00,0.7875311389243487,0.21246886107565136
2022-07-11 00:00:00+00:00,0.7874708746046017,0.2125291253953983
2022-07-12 00:00:00+00:00,0.7871134384514973,0.21288656154850266
2022-07-13 00:00:00+00:00,0.786375118776879,0.21362488122312098
2022-07-14 00:00:00+00:00,0.78618894504365,0.21381105495635
2022-07-15 00:00:00+00:00,0.785863720693681,0.21413627930631893
2022-07-16 00:00:00+00:00,0.7858328949351185,0.2141671050648814
2022-07-17 00:00:00+00:00,0.7857949259151836,0.2142050740848164
2022-07-18 00:00:00+00:00,0.7835043321769297,0.2164956678230703
2022-07-19 00:00:00+00:00,0.783605231783766,0.2163947682162341
2022-07-20 00:00:00+00:00,0.7830706937073106,0.21692930629268933
2022-07-21 00:00:00+00:00,0.7830010922697923,0.2169989077302077
2022-07-22 00:00:00+00:00,0.7829837884574388,0.21701621154256118
2022-07-23 00:00:00+00:00,0.7829644708207074,0.21703552917929259
2022-07-24 00:00:00+00:00,0.7829758920502335,0.2170241079497664
2022-07-25 00:00:00+00:00,0.7793599242700938,0.22064007572990624
2022-07-26 00:00:00+00:00,0.7794061694958141,0.22059383050418596
2022-07-27 00:00:00+00:00,0.7794135762061611,0.22058642379383886
2022-07-28 00:00:00+00:00,0.7809707713391826,0.2190292286608174
